CustomerID,FirstName,LastName,Email,Phone,City,State,LastUpdated
13342,Lekha,Pau,wjain@example.com,4460655427,Madhyamgram,Haryana,2026-06-20 06:45:53.778416
14076,Tristan,Dayal,manishravya@example.org,4874962207,Haridwar,West Bengal,2026-06-20 06:45:53.778416
11336,Lipika,Patil,harita86@example.net,3928447075,Kharagpur,Andhra Pradesh,2026-06-20 06:45:53.778416
14458,Omisha,Anne,mohammed56@example.org,4286411956,Sangli-Miraj & Kupwad,Goa,2026-06-20 06:45:53.778416
12127,Nitesh,Kashyap,cdasgupta@example.net,977266892,Vijayawada,Punjab,2026-06-20 06:45:53.778416
10610,Samaksh,Sethi,joshiranbir@example.net,2476245555,Hosur,Tamil Nadu,2026-06-20 06:45:53.778416
11283,Pushti,Kulkarni,ekbal40@example.com,5347603645,Bihar Sharif,Maharashtra,2026-06-20 06:45:53.778416
10278,Onveer,Parsa,munimanan@example.org,9304874344,Ichalkaranji,Maharashtra,2026-06-20 06:45:53.778416
12168,Idika,Sengupta,wishi81@example.net,5271635218,Bhubaneswar,Uttar Pradesh,2026-06-20 06:45:53.778416
13870,Anusha,Bal,anushatella@example.org,9600792789,Bhiwandi,West Bengal,2026-06-20 06:45:53.778416
10080,Aarush,Shah,eratta@example.org,2595038275,Sikar,Tripura,2026-06-20 06:45:53.778416
10570,Lucky,Bobal,loganjain@example.net,8094854075,Pune,Maharashtra,2026-06-20 06:45:53.778416
13747,Karan,Raju,joshuabiswas@example.com,9263601302,Bhilwara,Jharkhand,2026-06-20 06:45:53.778416
10649,Sai,Andra,ikumar@example.net,4461425616,Panipat,Karnataka,2026-06-20 06:45:53.778416
14078,Gautami,Tiwari,pushti03@example.net,3357365770,Vijayawada,Himachal Pradesh,2026-06-20 06:45:53.778416
13983,Brijesh,Shankar,loyalanita@example.org,3566608678,Amaravati,Telangana,2026-06-20 06:45:53.778416
14294,David,Balan,lila00@example.net,132615665,Jalandhar,Andhra Pradesh,2026-06-20 06:45:53.778416
12980,Siya,Bobal,hmitter@example.com,3635993784,Anantapur,Punjab,2026-06-20 06:45:53.778416
11918,Advik,Krishnamurthy,vrishti22@example.com,2037255151,Meerut,Tripura,2026-06-20 06:45:53.778416
14691,Manbir,Chanda,ishanvi68@example.org,5945094989,Karawal Nagar,Tamil Nadu,2026-06-20 06:45:53.778416
12014,Maanav,Reddy,gangulyvaishnavi@example.com,4940247483,Ramagundam,Meghalaya,2026-06-20 06:45:53.778416
10333,Harinakshi,Gour,zsarraf@example.net,5330982076,Jaipur,Telangana,2026-06-20 06:45:53.778416
12611,Falguni,Gade,aryaanand@example.net,8535962793,Tadipatri,Tripura,2026-06-20 06:45:53.778416
14192,Anamika,Pandya,tghosh@example.org,3839469967,Ratlam,Kerala,2026-06-20 06:45:53.778416
14580,Ridhi,Venkatesh,riyadevi@example.net,6291952500,Thrissur,Uttar Pradesh,2026-06-20 06:45:53.778416
14742,Brinda,Mann,xitibuch@example.com,6760299205,Junagadh,Himachal Pradesh,2026-06-20 06:45:53.778416
13281,Meera,Lall,idara@example.net,360220363,Vadodara,Nagaland,2026-06-20 06:45:53.778416
12971,Janaki,Narayanan,imohan@example.org,7985336878,Durgapur,Sikkim,2026-06-20 06:45:53.778416
12089,Charles,Sethi,uchauhan@example.net,1571957176,Gangtok,Uttarakhand,2026-06-20 06:45:53.778416
12096,Qabil,Guha,chaitanyasankar@example.net,9694787220,Gandhinagar,Kerala,2026-06-20 06:45:53.778416
